"X","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
167,"A Symonds","SR Tendulkar",26.3,1,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
168,"A Symonds","D Mongia",26.4,0,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
169,"A Symonds","D Mongia",26.5,0,FALSE,76,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
170,"A Symonds","D Mongia",26.6,1,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
171,"JN Gillespie","D Mongia",27.1,0,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
172,"JN Gillespie","D Mongia",27.2,1,FALSE,78,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
173,"JN Gillespie","SR Tendulkar",27.3,0,FALSE,78,6,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
174,"JN Gillespie","A Kumble",27.4,1,FALSE,79,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
175,"JN Gillespie","D Mongia",27.5,1,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Spin"
176,"JN Gillespie","A Kumble",27.6,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
177,"B Lee","D Mongia",28.1,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
178,"B Lee","D Mongia",28.2,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
179,"B Lee","D Mongia",28.3,0,FALSE,80,7,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
180,"B Lee","Harbhajan Singh",28.4,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
181,"B Lee","Harbhajan Singh",28.5,0,FALSE,80,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
182,"B Lee","Harbhajan Singh",28.6,4,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
