"","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"84","JN Gillespie","Yuvraj Singh",13.3,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"85","JN Gillespie","Yuvraj Singh",13.4,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"86","JN Gillespie","Yuvraj Singh",13.5,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"87","JN Gillespie","Yuvraj Singh",13.6,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"88","GD McGrath","SR Tendulkar",14.1,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"89","GD McGrath","SR Tendulkar",14.2,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"90","GD McGrath","SR Tendulkar",14.3,1,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia"
"91","GD McGrath","Yuvraj Singh",14.4,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia"
"92","GD McGrath","Yuvraj Singh",14.5,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia"
"93","GD McGrath","Yuvraj Singh",14.6,0,FALSE,40,4,"India",1,"bat","Australia","9  wickets","Australia"
"94","JN Gillespie","SR Tendulkar",15.1,1,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia"
"95","JN Gillespie","M Kaif",15.2,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia"
"96","JN Gillespie","M Kaif",15.3,0,TRUE,42,0,"India",1,"bat","Australia","9  wickets","Australia"
"97","JN Gillespie","M Kaif",15.3,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia"
"98","JN Gillespie","M Kaif",15.4,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia"
"99","JN Gillespie","M Kaif",15.5,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia"
"100","JN Gillespie","M Kaif",15.6,0,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia"
"101","A Symonds","SR Tendulkar",16.1,0,TRUE,43,0,"India",1,"bat","Australia","9  wickets","Australia"
"102","A Symonds","SR Tendulkar",16.1,1,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia"
"103","A Symonds","M Kaif",16.2,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia"
"104","A Symonds","M Kaif",16.3,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia"
"105","A Symonds","M Kaif",16.4,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia"
"106","A Symonds","M Kaif",16.5,0,FALSE,44,0,"India",1,"bat","Australia","9  wickets","Australia"
"107","A Symonds","M Kaif",16.6,1,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"108","JN Gillespie","M Kaif",17.1,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"109","JN Gillespie","M Kaif",17.2,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"110","JN Gillespie","M Kaif",17.3,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"111","JN Gillespie","M Kaif",17.4,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"112","JN Gillespie","M Kaif",17.5,0,FALSE,45,0,"India",1,"bat","Australia","9  wickets","Australia"
"113","JN Gillespie","M Kaif",17.6,0,FALSE,45,5,"India",1,"bat","Australia","9  wickets","Australia"
"114","A Symonds","SR Tendulkar",18.1,1,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia"
"115","A Symonds","D Mongia",18.2,0,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia"
"116","A Symonds","D Mongia",18.3,0,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia"
"117","A Symonds","D Mongia",18.4,0,FALSE,46,0,"India",1,"bat","Australia","9  wickets","Australia"
"118","A Symonds","D Mongia",18.5,2,FALSE,48,0,"India",1,"bat","Australia","9  wickets","Australia"
"119","A Symonds","D Mongia",18.6,0,FALSE,48,0,"India",1,"bat","Australia","9  wickets","Australia"
"120","JN Gillespie","SR Tendulkar",19.1,0,FALSE,48,0,"India",1,"bat","Australia","9  wickets","Australia"
"121","JN Gillespie","SR Tendulkar",19.2,0,FALSE,48,0,"India",1,"bat","Australia","9  wickets","Australia"
"122","JN Gillespie","SR Tendulkar",19.3,1,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia"
"123","JN Gillespie","D Mongia",19.4,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia"
"124","JN Gillespie","D Mongia",19.5,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia"
"125","JN Gillespie","D Mongia",19.6,0,FALSE,49,0,"India",1,"bat","Australia","9  wickets","Australia"
"126","A Symonds","SR Tendulkar",20.1,0,TRUE,50,0,"India",1,"bat","Australia","9  wickets","Australia"
"127","A Symonds","SR Tendulkar",20.1,1,FALSE,51,0,"India",1,"bat","Australia","9  wickets","Australia"
"128","A Symonds","D Mongia",20.2,4,FALSE,55,0,"India",1,"bat","Australia","9  wickets","Australia"
"129","A Symonds","D Mongia",20.3,0,FALSE,55,0,"India",1,"bat","Australia","9  wickets","Australia"
"130","A Symonds","D Mongia",20.4,0,FALSE,55,0,"India",1,"bat","Australia","9  wickets","Australia"
"131","A Symonds","D Mongia",20.5,2,FALSE,57,0,"India",1,"bat","Australia","9  wickets","Australia"
"132","A Symonds","D Mongia",20.6,0,FALSE,57,0,"India",1,"bat","Australia","9  wickets","Australia"
"133","JN Gillespie","SR Tendulkar",21.1,0,FALSE,57,0,"India",1,"bat","Australia","9  wickets","Australia"
"134","JN Gillespie","SR Tendulkar",21.2,1,FALSE,58,0,"India",1,"bat","Australia","9  wickets","Australia"
"135","JN Gillespie","D Mongia",21.3,0,FALSE,58,0,"India",1,"bat","Australia","9  wickets","Australia"
"136","JN Gillespie","D Mongia",21.4,0,FALSE,58,0,"India",1,"bat","Australia","9  wickets","Australia"
"137","JN Gillespie","D Mongia",21.5,0,FALSE,58,0,"India",1,"bat","Australia","9  wickets","Australia"
"138","JN Gillespie","D Mongia",21.6,1,FALSE,59,0,"India",1,"bat","Australia","9  wickets","Australia"
"139","A Symonds","D Mongia",22.1,0,FALSE,59,0,"India",1,"bat","Australia","9  wickets","Australia"
"140","A Symonds","D Mongia",22.2,0,FALSE,59,0,"India",1,"bat","Australia","9  wickets","Australia"
"141","A Symonds","D Mongia",22.3,0,FALSE,59,0,"India",1,"bat","Australia","9  wickets","Australia"
"142","A Symonds","D Mongia",22.4,1,FALSE,60,0,"India",1,"bat","Australia","9  wickets","Australia"
"143","A Symonds","SR Tendulkar",22.5,1,FALSE,61,0,"India",1,"bat","Australia","9  wickets","Australia"
"144","A Symonds","D Mongia",22.6,0,FALSE,61,0,"India",1,"bat","Australia","9  wickets","Australia"
"145","JN Gillespie","SR Tendulkar",23.1,0,FALSE,61,0,"India",1,"bat","Australia","9  wickets","Australia"
"146","JN Gillespie","SR Tendulkar",23.2,1,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia"
"147","JN Gillespie","D Mongia",23.3,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia"
"148","JN Gillespie","D Mongia",23.4,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia"
"149","JN Gillespie","D Mongia",23.5,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia"
"150","JN Gillespie","D Mongia",23.6,0,FALSE,62,0,"India",1,"bat","Australia","9  wickets","Australia"
"151","A Symonds","SR Tendulkar",24.1,0,TRUE,63,0,"India",1,"bat","Australia","9  wickets","Australia"
"152","A Symonds","SR Tendulkar",24.1,0,FALSE,63,0,"India",1,"bat","Australia","9  wickets","Australia"
"153","A Symonds","SR Tendulkar",24.2,0,FALSE,63,0,"India",1,"bat","Australia","9  wickets","Australia"
"154","A Symonds","SR Tendulkar",24.3,0,FALSE,63,0,"India",1,"bat","Australia","9  wickets","Australia"
"155","A Symonds","SR Tendulkar",24.4,2,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia"
"156","A Symonds","SR Tendulkar",24.5,0,FALSE,65,0,"India",1,"bat","Australia","9  wickets","Australia"
"157","A Symonds","SR Tendulkar",24.6,1,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia"
"158","JN Gillespie","SR Tendulkar",25.1,0,FALSE,66,0,"India",1,"bat","Australia","9  wickets","Australia"
"159","JN Gillespie","SR Tendulkar",25.2,1,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia"
"160","JN Gillespie","D Mongia",25.3,0,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia"
"161","JN Gillespie","D Mongia",25.4,0,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia"
"162","JN Gillespie","D Mongia",25.5,0,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia"
"163","JN Gillespie","D Mongia",25.6,0,FALSE,67,0,"India",1,"bat","Australia","9  wickets","Australia"
"164","A Symonds","SR Tendulkar",26.1,0,TRUE,68,0,"India",1,"bat","Australia","9  wickets","Australia"
"165","A Symonds","SR Tendulkar",26.1,0,FALSE,68,0,"India",1,"bat","Australia","9  wickets","Australia"
"166","A Symonds","SR Tendulkar",26.2,0,FALSE,68,0,"India",1,"bat","Australia","9  wickets","Australia"
"167","A Symonds","SR Tendulkar",26.3,1,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia"
"168","A Symonds","D Mongia",26.4,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia"
"169","A Symonds","D Mongia",26.5,0,FALSE,69,0,"India",1,"bat","Australia","9  wickets","Australia"
"170","A Symonds","D Mongia",26.6,1,FALSE,70,0,"India",1,"bat","Australia","9  wickets","Australia"
"171","JN Gillespie","D Mongia",27.1,0,FALSE,70,0,"India",1,"bat","Australia","9  wickets","Australia"
"172","JN Gillespie","D Mongia",27.2,1,FALSE,71,0,"India",1,"bat","Australia","9  wickets","Australia"
"173","JN Gillespie","SR Tendulkar",27.3,0,FALSE,71,6,"India",1,"bat","Australia","9  wickets","Australia"
"174","JN Gillespie","A Kumble",27.4,1,FALSE,72,0,"India",1,"bat","Australia","9  wickets","Australia"
"175","JN Gillespie","D Mongia",27.5,1,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"176","JN Gillespie","A Kumble",27.6,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"177","B Lee","D Mongia",28.1,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"178","B Lee","D Mongia",28.2,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"179","B Lee","D Mongia",28.3,0,FALSE,73,7,"India",1,"bat","Australia","9  wickets","Australia"
"180","B Lee","Harbhajan Singh",28.4,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"181","B Lee","Harbhajan Singh",28.5,0,FALSE,73,0,"India",1,"bat","Australia","9  wickets","Australia"
"182","B Lee","Harbhajan Singh",28.6,4,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia"
"183","JN Gillespie","A Kumble",29.1,0,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia"
"184","JN Gillespie","A Kumble",29.2,0,FALSE,77,0,"India",1,"bat","Australia","9  wickets","Australia"
"185","JN Gillespie","A Kumble",29.3,1,FALSE,78,0,"India",1,"bat","Australia","9  wickets","Australia"
"186","JN Gillespie","Harbhajan Singh",29.4,0,FALSE,78,0,"India",1,"bat","Australia","9  wickets","Australia"
"187","JN Gillespie","Harbhajan Singh",29.5,0,FALSE,78,0,"India",1,"bat","Australia","9  wickets","Australia"
"188","JN Gillespie","Harbhajan Singh",29.6,1,FALSE,79,0,"India",1,"bat","Australia","9  wickets","Australia"
